Problem	Population Size	Generation	Step Size	Elites	Mutations	Crossovers	Best	Worst	Best Fitness	Worst Fitness	Average	Deviation	Crossover Points	Runtime (ms)
Rastrigin	100	70	0.8	50	50	1	f(-0.035068058006357594, 0.02051320924245359) = 0.32636270085430574	f(-1.722422365443085, -0.767759232718043) = 24.166757774194256	75.39415872867228	3.973495549058727	44.59861823038418	15.563284891669857	1	49.36
Rastrigin	100	71	0.8	50	50	1	f(-0.035068058006357594, 0.02051320924245359) = 0.32636270085430574	f(-0.5812887619914885, 0.02051320924245359) = 19.145033238587374	75.39415872867228	4.964002730382801	46.616062333126166	15.02595392822622	1	49.36
Rastrigin	100	72	0.8	50	50	1	f(-0.035068058006357594, 0.02051320924245359) = 0.32636270085430574	f(-0.49217346857110944, 0.02051320924245359) = 20.31351282016976	75.39415872867228	4.6918591432457974	45.33561389350903	17.784745995730987	1	49.36
Rastrigin	100	73	0.8	50	50	1	f(-0.035068058006357594, 0.02051320924245359) = 0.32636270085430574	f(-0.9876628598188327, -0.49321595373094107) = 21.239685672189815	75.39415872867228	4.496466428257462	45.859179807517776	21.36972668602156	1	49.36
Rastrigin	100	74	0.8	50	50	1	f(-0.017105439049912685, 0.02051320924245359) = 0.14135999837632696	f(-1.2672169616236313, 0.02051320924245359) = 12.768870617284495	87.6147754803548	7.262759799229057	49.14721908847221	18.349185799886413	1	49.36
Rastrigin	100	75	0.8	50	50	1	f(-0.017105439049912685, 0.02051320924245359) = 0.14135999837632696	f(-0.9876628598188327, -0.3881308861110098) = 18.78589633760637	87.6147754803548	5.054105120824547	47.50909157480487	20.785229926966537	1	49.36
Rastrigin	100	76	0.8	50	50	1	f(-0.017105439049912685, 0.02051320924245359) = 0.14135999837632696	f(-0.9876628598188327, -0.3881308861110098) = 18.78589633760637	87.6147754803548	5.054105120824547	49.028168497025355	21.2887294353493	1	49.36
Rastrigin	100	77	0.8	50	50	1	f(-0.017105439049912685, 0.007675198366976721) = 0.06967792619726332	f(0.05023370266536742, -0.4760230041562246) = 20.60983849006297	93.48608356863356	4.627521859822498	54.37250699629871	24.64975517726811	1	49.36
Rastrigin	100	78	0.8	50	50	1	f(-0.017105439049912685, 0.007675198366976721) = 0.06967792619726332	f(-0.40484234723612444, 0.02051320924245359) = 18.512498063204156	93.48608356863356	5.124920431821888	54.908981452762674	25.81726096864598	1	49.36
Rastrigin	100	79	0.8	50	50	1	f(-0.017105439049912685, 0.007675198366976721) = 0.06967792619726332	f(0.3758681021489584, 0.02051320924245359) = 17.334174860574862	93.48608356863356	5.45429509429608	51.045722796933696	26.91747764356551	1	49.36
